Edad,Sexo,Trabajo,Vivienda,Cuenta_Ahorro,Cuenta_Corriente,Monto_Credito,Periodo_Meses,Tipo,Resultado
67,0,calificados,propia,NA,bajo,1169,6,radio/TV,1
22,1,calificados,propia,bajo,medio,5951,48,radio/TV,0
49,0,no_calificados_residentes,propia,bajo,NA,2096,12,educacion,1
45,0,calificados,familiar,bajo,bajo,7882,42,mobiliario,1
53,0,calificados,familiar,bajo,bajo,4870,24,automotriz,0
35,0,no_calificados_residentes,familiar,NA,NA,9055,36,educacion,1
53,0,calificados,propia,muy_alto,NA,2835,24,mobiliario,1
35,0,altamente_calificados,rentada,bajo,medio,6948,36,automotriz,1
61,0,no_calificados_residentes,propia,alto,NA,3059,12,radio/TV,1
28,0,altamente_calificados,propia,bajo,medio,5234,30,automotriz,0
25,1,calificados,rentada,bajo,medio,1295,12,automotriz,0
24,1,calificados,rentada,bajo,bajo,4308,48,trabajo,0
22,1,calificados,propia,bajo,medio,1567,12,radio/TV,1
60,0,no_calificados_residentes,propia,bajo,bajo,1199,24,automotriz,0
28,1,calificados,rentada,bajo,bajo,1403,15,automotriz,1
32,1,no_calificados_residentes,propia,intermedio,bajo,1282,24,radio/TV,0
53,0,calificados,propia,NA,NA,2424,24,radio/TV,1
25,0,calificados,propia,NA,bajo,8072,30,trabajo,1
44,1,altamente_calificados,familiar,bajo,medio,12579,24,automotriz,0
31,0,calificados,propia,muy_alto,NA,3430,24,radio/TV,1
48,0,calificados,propia,bajo,NA,2134,9,automotriz,1
44,0,calificados,rentada,muy_alto,bajo,2647,6,radio/TV,1
48,0,no_calificados_residentes,rentada,bajo,bajo,2241,10,automotriz,1
44,0,calificados,propia,intermedio,medio,1804,12,automotriz,1
26,0,calificados,propia,NA,NA,2069,10,mobiliario,1
36,0,no_calificados_residentes,propia,bajo,bajo,1374,6,mobiliario,1
39,0,no_calificados_residentes,propia,bajo,NA,426,6,radio/TV,1
42,1,calificados,rentada,alto,alto,409,12,radio/TV,1
34,0,calificados,propia,bajo,medio,2415,7,radio/TV,1
63,0,calificados,propia,bajo,bajo,6836,60,trabajo,0
36,0,calificados,propia,alto,medio,1913,18,trabajo,1
27,0,calificados,propia,bajo,bajo,4020,24,mobiliario,1
30,0,calificados,propia,intermedio,medio,5866,18,automotriz,1
57,0,no_calificados_residentes,rentada,NA,NA,1264,12,trabajo,1
33,1,altamente_calificados,propia,bajo,alto,1474,12,mobiliario,1
25,0,no_calificados_residentes,propia,bajo,medio,4746,45,radio/TV,0
31,0,calificados,familiar,bajo,NA,6110,48,educacion,1
37,0,calificados,propia,bajo,alto,2100,18,radio/TV,0
37,0,calificados,propia,bajo,alto,1225,10,uso_domestico,1
24,0,calificados,propia,bajo,medio,458,9,radio/TV,1
30,0,altamente_calificados,propia,muy_alto,NA,2333,30,radio/TV,1
26,0,calificados,propia,muy_alto,medio,1158,12,radio/TV,1
44,0,no_calificados_residentes,propia,bajo,medio,6204,18,reparaciones,1
24,0,calificados,rentada,intermedio,bajo,6187,30,automotriz,1
58,1,no_calificados_residentes,familiar,bajo,bajo,6143,48,automotriz,0
35,1,altamente_calificados,propia,bajo,NA,1393,11,automotriz,1
39,0,calificados,propia,muy_alto,NA,2299,36,radio/TV,1
23,1,no_calificados_no_residentes,rentada,muy_alto,bajo,1352,6,automotriz,1
39,0,no_calificados_residentes,propia,bajo,NA,7228,11,automotriz,1
28,1,calificados,propia,intermedio,NA,2073,12,radio/TV,1
29,0,no_calificados_residentes,propia,NA,medio,2333,24,mobiliario,1
30,0,altamente_calificados,propia,bajo,medio,5965,27,automotriz,1
25,0,calificados,propia,bajo,NA,1262,12,radio/TV,1
31,0,calificados,propia,NA,NA,3378,18,automotriz,1
57,0,calificados,familiar,bajo,medio,2225,36,automotriz,0
26,0,no_calificados_residentes,propia,NA,NA,783,6,automotriz,1
52,0,altamente_calificados,propia,NA,medio,6468,12,radio/TV,0
31,1,calificados,propia,bajo,NA,9566,36,radio/TV,1
23,1,altamente_calificados,propia,bajo,alto,1961,18,automotriz,1
23,1,no_calificados_residentes,rentada,bajo,bajo,6229,36,mobiliario,0
27,0,calificados,propia,bajo,medio,1391,9,trabajo,1
50,0,calificados,propia,NA,medio,1537,15,radio/TV,1
61,0,altamente_calificados,familiar,bajo,medio,1953,36,trabajo,0
25,0,calificados,propia,bajo,medio,14421,48,trabajo,0
26,1,calificados,propia,bajo,NA,3181,24,radio/TV,1
48,0,calificados,propia,NA,NA,5190,27,reparaciones,1
29,1,calificados,propia,bajo,NA,2171,12,radio/TV,1
22,0,calificados,propia,alto,medio,1007,12,automotriz,1
37,0,calificados,familiar,bajo,NA,1819,36,educacion,0
25,1,calificados,propia,NA,NA,2394,36,radio/TV,1
30,1,calificados,propia,bajo,NA,8133,36,automotriz,1
46,0,no_calificados_residentes,rentada,NA,NA,730,7,radio/TV,1
51,0,altamente_calificados,familiar,bajo,bajo,1164,8,vacaciones,1
41,1,no_calificados_residentes,propia,bajo,medio,5954,42,trabajo,1
40,0,altamente_calificados,propia,NA,bajo,1977,36,educacion,0
66,0,altamente_calificados,familiar,bajo,bajo,1526,12,automotriz,1
34,0,calificados,propia,bajo,bajo,3965,42,radio/TV,0
51,0,calificados,propia,bajo,medio,4771,11,radio/TV,1
39,0,no_calificados_residentes,propia,NA,NA,9436,54,automotriz,1
22,0,calificados,propia,bajo,medio,3832,30,mobiliario,1
44,1,calificados,propia,NA,NA,5943,24,radio/TV,0
47,0,calificados,propia,muy_alto,NA,1213,15,radio/TV,1
24,1,no_calificados_residentes,rentada,intermedio,NA,1568,18,trabajo,1
58,1,no_calificados_residentes,propia,bajo,bajo,1755,24,vacaciones,1
52,0,no_calificados_residentes,propia,bajo,bajo,2315,10,radio/TV,1
29,1,altamente_calificados,propia,bajo,NA,1412,12,trabajo,1
27,1,calificados,propia,bajo,medio,1295,18,mobiliario,1
47,0,calificados,familiar,intermedio,medio,12612,36,educacion,0
30,0,altamente_calificados,propia,intermedio,bajo,2249,18,automotriz,1
28,0,calificados,propia,bajo,bajo,1108,12,reparaciones,0
56,0,calificados,propia,bajo,NA,618,12,radio/TV,1
54,0,calificados,propia,bajo,bajo,1409,12,automotriz,1
33,1,no_calificados_residentes,propia,NA,NA,797,12,radio/TV,0
20,0,calificados,rentada,NA,alto,3617,24,mobiliario,1
54,0,calificados,propia,alto,medio,1318,12,automotriz,1
58,0,calificados,rentada,bajo,medio,15945,54,trabajo,0
61,1,calificados,propia,NA,NA,2012,12,educacion,1
34,0,calificados,propia,intermedio,medio,2622,18,trabajo,1
36,0,calificados,propia,bajo,medio,2337,36,radio/TV,1
36,0,altamente_calificados,rentada,NA,medio,7057,20,automotriz,1
41,0,no_calificados_residentes,rentada,intermedio,NA,1469,24,automotriz,1
24,0,calificados,rentada,bajo,medio,2323,36,radio/TV,1
24,1,calificados,propia,bajo,NA,932,6,radio/TV,1
35,0,calificados,rentada,bajo,medio,1919,9,mobiliario,1
26,0,calificados,rentada,NA,NA,2445,12,automotriz,1
39,0,altamente_calificados,propia,bajo,medio,11938,24,vacaciones,0
39,0,altamente_calificados,propia,bajo,NA,6458,18,automotriz,0
32,0,calificados,propia,bajo,medio,6078,12,automotriz,1
30,1,calificados,propia,NA,bajo,7721,24,mobiliario,1
35,0,calificados,propia,muy_alto,medio,1410,14,trabajo,1
31,0,calificados,propia,intermedio,medio,1449,6,trabajo,1
23,1,calificados,rentada,bajo,alto,392,15,educacion,1
28,0,no_calificados_residentes,rentada,bajo,medio,6260,18,automotriz,1
25,1,calificados,propia,bajo,NA,7855,36,automotriz,0
35,0,calificados,propia,muy_alto,bajo,1680,12,radio/TV,1
47,0,calificados,propia,NA,NA,3578,48,radio/TV,1
30,1,altamente_calificados,propia,NA,bajo,7174,42,radio/TV,0
27,1,calificados,rentada,NA,bajo,2132,10,mobiliario,1
23,1,calificados,propia,muy_alto,bajo,4281,33,mobiliario,0
36,0,altamente_calificados,propia,muy_alto,medio,2366,12,automotriz,1
25,1,calificados,propia,bajo,bajo,1835,21,radio/TV,0
41,1,altamente_calificados,rentada,bajo,NA,3868,24,automotriz,1
24,0,no_calificados_residentes,rentada,bajo,NA,1768,12,mobiliario,1
63,0,calificados,familiar,bajo,alto,781,10,automotriz,1
27,1,calificados,rentada,NA,medio,1924,18,mobiliario,0
30,0,calificados,propia,bajo,bajo,2121,12,automotriz,1
40,0,no_calificados_residentes,propia,bajo,bajo,701,12,radio/TV,1
30,0,calificados,propia,bajo,medio,639,12,reparaciones,0
34,0,altamente_calificados,propia,bajo,medio,1860,12,automotriz,1
29,1,calificados,propia,bajo,bajo,3499,12,automotriz,0
24,1,calificados,propia,NA,medio,8487,48,automotriz,1
29,0,calificados,propia,bajo,bajo,6887,36,educacion,0
27,0,no_calificados_residentes,propia,bajo,NA,2708,15,mobiliario,1
47,0,calificados,familiar,bajo,NA,1984,18,mobiliario,1
21,1,calificados,propia,intermedio,NA,10144,60,radio/TV,1
38,1,calificados,propia,NA,NA,1240,12,radio/TV,1
27,0,calificados,propia,alto,NA,8613,27,automotriz,1
66,0,no_calificados_residentes,propia,muy_alto,medio,766,12,radio/TV,0
35,0,calificados,propia,NA,medio,2728,15,radio/TV,1
44,1,no_calificados_residentes,rentada,bajo,alto,1881,12,radio/TV,1
27,0,no_calificados_no_residentes,propia,alto,alto,709,6,automotriz,1
30,1,altamente_calificados,propia,bajo,medio,4795,36,radio/TV,1
27,0,altamente_calificados,propia,bajo,bajo,3416,27,radio/TV,1
22,0,calificados,propia,bajo,bajo,2462,18,mobiliario,0
23,1,calificados,propia,bajo,NA,2288,21,mobiliario,1
30,0,calificados,propia,intermedio,medio,3566,48,trabajo,1
39,1,calificados,propia,bajo,bajo,860,6,automotriz,1
51,1,calificados,propia,intermedio,NA,682,12,automotriz,1
28,0,calificados,propia,bajo,bajo,5371,36,mobiliario,1
46,0,calificados,propia,alto,NA,1582,18,radio/TV,1
42,0,calificados,familiar,intermedio,NA,1346,6,radio/TV,1
38,0,calificados,propia,bajo,NA,1924,10,radio/TV,1
24,0,calificados,propia,bajo,alto,5848,36,radio/TV,1
29,1,calificados,rentada,alto,medio,7758,24,automotriz,1
36,0,altamente_calificados,rentada,intermedio,medio,6967,24,trabajo,1
20,1,calificados,rentada,bajo,bajo,1282,12,mobiliario,0
48,0,calificados,propia,intermedio,bajo,1288,9,reparaciones,1
45,0,no_calificados_residentes,propia,bajo,bajo,339,12,educacion,1
38,0,calificados,propia,intermedio,medio,3512,24,automotriz,1
34,0,no_calificados_residentes,propia,NA,NA,1898,6,radio/TV,1
36,0,calificados,propia,intermedio,NA,2872,24,radio/TV,1
30,1,calificados,propia,bajo,NA,1055,18,automotriz,1
36,0,calificados,propia,muy_alto,NA,1262,15,uso_domestico,1
70,0,altamente_calificados,familiar,bajo,medio,7308,10,automotriz,1
36,0,calificados,propia,muy_alto,NA,909,36,automotriz,1
32,0,calificados,propia,muy_alto,NA,2978,6,mobiliario,1
33,1,calificados,propia,bajo,bajo,1131,18,mobiliario,0
20,1,calificados,propia,alto,medio,1577,11,mobiliario,1
25,1,calificados,rentada,bajo,NA,3972,24,mobiliario,1
31,0,calificados,propia,bajo,medio,1935,24,trabajo,0
33,0,calificados,rentada,bajo,bajo,950,15,automotriz,0
26,1,calificados,propia,bajo,NA,763,12,mobiliario,1
34,1,altamente_calificados,propia,bajo,medio,2064,24,mobiliario,0
33,0,calificados,propia,bajo,medio,1414,8,radio/TV,1
26,0,calificados,propia,bajo,bajo,3414,21,educacion,0
53,1,altamente_calificados,propia,NA,NA,7485,30,automotriz,0
42,0,calificados,propia,bajo,bajo,2577,12,mobiliario,1
52,0,calificados,propia,muy_alto,bajo,338,6,radio/TV,1
31,0,altamente_calificados,rentada,bajo,NA,1963,12,radio/TV,1
65,0,calificados,propia,bajo,bajo,571,21,automotriz,1
28,0,calificados,propia,bajo,NA,9572,36,trabajo,0
30,0,altamente_calificados,propia,bajo,medio,4455,36,trabajo,0
40,0,no_calificados_residentes,propia,NA,bajo,1647,21,automotriz,0
50,0,calificados,propia,alto,NA,3777,24,mobiliario,1
36,0,calificados,propia,bajo,medio,884,18,automotriz,0
31,0,calificados,propia,bajo,NA,1360,15,radio/TV,1
74,1,altamente_calificados,familiar,bajo,medio,5129,9,automotriz,0
68,0,no_calificados_no_residentes,familiar,bajo,medio,1175,16,automotriz,1
20,0,calificados,propia,intermedio,bajo,674,12,radio/TV,0
33,1,calificados,propia,bajo,medio,3244,18,mobiliario,1
54,0,altamente_calificados,propia,alto,NA,4591,24,trabajo,0
34,0,no_calificados_residentes,familiar,intermedio,medio,3844,48,trabajo,0
36,0,calificados,propia,bajo,medio,3915,27,trabajo,0
29,0,calificados,rentada,bajo,NA,2108,6,radio/TV,1
21,0,calificados,rentada,intermedio,medio,3031,45,radio/TV,0
34,1,altamente_calificados,propia,bajo,medio,1501,9,educacion,0
28,1,calificados,propia,bajo,NA,1382,6,radio/TV,1
27,1,calificados,rentada,intermedio,medio,951,12,mobiliario,0
36,0,calificados,familiar,NA,medio,2760,24,automotriz,1
40,0,altamente_calificados,propia,bajo,medio,4297,18,mobiliario,0
52,0,calificados,propia,muy_alto,NA,936,9,educacion,1
27,0,no_calificados_residentes,propia,bajo,bajo,1168,12,automotriz,1
26,0,calificados,propia,bajo,NA,5117,27,trabajo,1
21,0,calificados,rentada,bajo,bajo,902,12,educacion,0
38,0,no_calificados_residentes,propia,bajo,NA,1495,12,automotriz,1
38,0,altamente_calificados,familiar,bajo,bajo,10623,30,automotriz,1
43,0,calificados,propia,bajo,NA,1935,12,mobiliario,1
26,0,calificados,propia,bajo,medio,1424,12,uso_domestico,1
21,0,no_calificados_residentes,propia,bajo,bajo,6568,24,trabajo,1
55,0,calificados,propia,alto,NA,1413,12,automotriz,1
33,0,calificados,propia,NA,NA,3074,9,radio/TV,1
45,1,no_calificados_residentes,propia,NA,NA,3835,36,radio/TV,1
50,0,calificados,propia,bajo,bajo,5293,27,trabajo,0
66,0,altamente_calificados,propia,bajo,alto,1908,30,trabajo,0
51,0,calificados,propia,NA,NA,3342,36,radio/TV,1
39,1,no_calificados_residentes,propia,NA,medio,932,6,educacion,1
31,0,calificados,propia,bajo,bajo,3104,18,trabajo,1
23,0,calificados,propia,bajo,alto,3913,36,radio/TV,1
24,0,no_calificados_residentes,rentada,bajo,bajo,3021,24,mobiliario,1
64,1,calificados,propia,bajo,NA,1364,10,automotriz,1
26,0,no_calificados_residentes,propia,bajo,medio,625,12,radio/TV,1
23,1,calificados,rentada,NA,bajo,1200,12,educacion,1
30,0,calificados,propia,bajo,NA,707,12,radio/TV,1
32,0,calificados,propia,NA,NA,2978,24,trabajo,1
30,0,calificados,propia,bajo,NA,4657,15,automotriz,1
27,0,calificados,propia,bajo,NA,2613,36,reparaciones,1
27,0,calificados,propia,alto,medio,10961,48,radio/TV,0
53,0,altamente_calificados,familiar,bajo,bajo,7865,12,mobiliario,0
22,0,calificados,propia,bajo,NA,1478,9,radio/TV,0
22,0,calificados,familiar,bajo,bajo,3149,24,mobiliario,1
26,0,calificados,propia,bajo,alto,4210,36,radio/TV,0
51,0,no_calificados_residentes,familiar,muy_alto,NA,2507,9,automotriz,1
35,0,calificados,propia,intermedio,NA,2141,12,radio/TV,1
25,0,no_calificados_residentes,propia,bajo,medio,866,18,radio/TV,1
42,0,no_calificados_residentes,propia,bajo,NA,1544,4,radio/TV,1
30,0,altamente_calificados,propia,bajo,bajo,1823,24,radio/TV,0
23,0,no_calificados_no_residentes,propia,NA,medio,14555,6,automotriz,0
61,0,no_calificados_residentes,rentada,intermedio,medio,2767,21,trabajo,0
35,1,calificados,propia,bajo,NA,1291,12,radio/TV,1
39,0,calificados,propia,bajo,bajo,2522,30,radio/TV,1
29,1,calificados,propia,NA,bajo,915,24,automotriz,0
51,0,calificados,propia,bajo,NA,1595,6,radio/TV,1
24,0,calificados,familiar,bajo,bajo,4605,48,automotriz,0
27,1,calificados,propia,bajo,NA,1185,12,trabajo,1
35,1,no_calificados_residentes,propia,muy_alto,NA,3447,12,educacion,1
25,0,calificados,propia,bajo,NA,1258,24,trabajo,1
52,0,calificados,propia,bajo,NA,717,12,radio/TV,1
35,0,calificados,rentada,intermedio,NA,1204,6,automotriz,1
26,0,calificados,propia,bajo,alto,1925,24,mobiliario,1
22,1,calificados,rentada,bajo,NA,433,18,radio/TV,0
39,1,no_calificados_residentes,propia,alto,bajo,666,6,automotriz,1
46,1,no_calificados_residentes,propia,bajo,alto,2251,12,mobiliario,1
24,1,calificados,propia,bajo,medio,2150,30,automotriz,0
35,0,calificados,propia,intermedio,NA,4151,24,mobiliario,1
24,0,calificados,propia,NA,medio,2030,9,mobiliario,1
27,0,no_calificados_residentes,propia,NA,medio,7418,60,radio/TV,1
35,0,no_calificados_residentes,propia,bajo,NA,2684,24,radio/TV,1
29,0,calificados,familiar,bajo,bajo,2149,12,radio/TV,0
23,1,calificados,propia,intermedio,NA,3812,15,automotriz,1
57,1,no_calificados_residentes,propia,intermedio,NA,1154,11,radio/TV,1
27,0,calificados,propia,bajo,bajo,1657,12,mobiliario,1
55,1,calificados,propia,bajo,bajo,1603,24,radio/TV,1
36,0,altamente_calificados,familiar,bajo,bajo,5302,18,automotriz,1
57,1,no_calificados_residentes,familiar,bajo,NA,2748,12,educacion,1
32,0,no_calificados_residentes,propia,bajo,NA,1231,10,automotriz,1
37,0,calificados,propia,bajo,medio,802,15,radio/TV,0
36,0,calificados,propia,NA,NA,6304,36,trabajo,1
38,1,calificados,propia,bajo,NA,1533,24,radio/TV,1
45,0,altamente_calificados,propia,bajo,bajo,8978,14,automotriz,0
25,0,calificados,propia,NA,NA,999,24,radio/TV,1
32,0,calificados,propia,NA,NA,2662,18,automotriz,1
37,1,calificados,rentada,muy_alto,NA,1402,12,mobiliario,1
36,0,altamente_calificados,familiar,NA,medio,12169,48,automotriz,1
28,0,calificados,propia,bajo,medio,3060,48,radio/TV,0
34,0,no_calificados_residentes,propia,bajo,bajo,11998,30,reparaciones,0
32,0,calificados,propia,bajo,NA,2697,9,radio/TV,1
26,1,calificados,propia,bajo,NA,2404,18,radio/TV,1
49,0,no_calificados_residentes,propia,NA,bajo,1262,12,mobiliario,1
32,1,calificados,propia,bajo,NA,4611,6,mobiliario,0
29,0,altamente_calificados,rentada,intermedio,NA,1901,24,radio/TV,1
23,0,calificados,rentada,alto,NA,3368,15,automotriz,1
50,0,calificados,propia,bajo,NA,1574,12,mobiliario,1
49,0,no_calificados_residentes,propia,NA,alto,1445,18,radio/TV,1
63,0,calificados,propia,NA,NA,1520,15,mobiliario,1
37,0,calificados,propia,intermedio,medio,3878,24,automotriz,1
35,1,no_calificados_residentes,propia,bajo,bajo,10722,47,automotriz,1
26,0,calificados,propia,bajo,bajo,4788,48,automotriz,1
31,0,altamente_calificados,familiar,intermedio,medio,7582,48,vacaciones,1
49,1,calificados,propia,bajo,medio,1092,12,radio/TV,1
48,0,calificados,propia,bajo,bajo,1024,24,radio/TV,0
26,0,calificados,propia,bajo,NA,1076,12,trabajo,1
28,0,altamente_calificados,rentada,bajo,medio,9398,36,automotriz,0
44,1,altamente_calificados,familiar,bajo,bajo,6419,24,automotriz,1
56,0,calificados,familiar,bajo,alto,4796,42,automotriz,1
46,0,altamente_calificados,propia,NA,NA,7629,48,trabajo,1
26,1,calificados,propia,bajo,medio,9960,48,mobiliario,0
20,1,calificados,rentada,NA,NA,4675,12,automotriz,1
45,0,no_calificados_residentes,propia,NA,NA,1287,10,automotriz,1
43,0,calificados,propia,bajo,NA,2515,18,mobiliario,1
32,0,calificados,propia,alto,medio,2745,21,mobiliario,1
54,1,no_calificados_no_residentes,propia,bajo,NA,672,6,automotriz,1
42,1,calificados,propia,bajo,medio,3804,36,radio/TV,0
37,0,no_calificados_residentes,propia,NA,alto,1344,24,automotriz,0
49,0,calificados,propia,bajo,bajo,1038,10,automotriz,1
44,0,calificados,familiar,muy_alto,NA,10127,48,automotriz,0
33,0,calificados,propia,alto,NA,1543,6,mobiliario,1
24,1,no_calificados_residentes,rentada,NA,NA,4811,30,automotriz,1
33,0,no_calificados_residentes,propia,intermedio,bajo,727,12,radio/TV,0
24,1,calificados,propia,bajo,medio,1237,8,mobiliario,0
22,0,no_calificados_residentes,rentada,bajo,medio,276,9,automotriz,1
40,0,no_calificados_no_residentes,familiar,NA,medio,5381,48,vacaciones,1
25,0,calificados,propia,intermedio,NA,5511,24,mobiliario,1
26,1,calificados,propia,bajo,alto,3749,24,mobiliario,1
25,0,no_calificados_residentes,propia,bajo,medio,685,12,automotriz,0
29,0,no_calificados_residentes,propia,NA,alto,1494,4,automotriz,1
31,0,calificados,propia,bajo,bajo,2746,36,mobiliario,0
38,0,no_calificados_residentes,propia,bajo,bajo,708,12,mobiliario,1
48,1,no_calificados_residentes,propia,NA,medio,4351,24,mobiliario,1
32,0,calificados,propia,bajo,NA,701,12,educacion,1
27,1,no_calificados_residentes,propia,bajo,bajo,3643,15,mobiliario,1
28,0,altamente_calificados,propia,bajo,medio,4249,30,automotriz,0
32,0,calificados,propia,bajo,bajo,1938,24,radio/TV,0
34,0,altamente_calificados,familiar,bajo,bajo,2910,24,automotriz,1
28,0,calificados,propia,alto,bajo,2659,18,mobiliario,1
36,1,calificados,propia,bajo,NA,1028,18,automotriz,1
39,0,no_calificados_residentes,propia,bajo,bajo,3398,8,automotriz,1
49,0,calificados,rentada,NA,NA,5801,12,mobiliario,1
34,1,calificados,propia,alto,NA,1525,24,automotriz,1
31,0,calificados,propia,bajo,alto,4473,36,radio/TV,1
28,0,calificados,propia,bajo,medio,1068,6,radio/TV,1
75,0,altamente_calificados,familiar,bajo,bajo,6615,24,automotriz,1
30,1,calificados,propia,intermedio,NA,1864,18,educacion,0
